Titolo,Descrizione,Descrizione Breve,Categoria,Autore,Casa Editrice,Editore,Numero Pagine,Peso (kg),Dimensioni,SKU
Operazione Zenith,Una squadra segreta tenta di fermare un’arma climatica globale.,Action techno-thriller.,Techno-Thriller,Marta De Luca,Luna Nera Press,Editor N14,451,0.68,19x19x1.9 cm,BOOK-XG52UIXD
Il Re delle Maree,Un pescatore scopre di essere erede di un antico trono sommerso.,Fantasy marino epico.,Fantasy Marino,Giulia Ventresca,Aurora Edizioni,Editor O15,305,0.33,18x26x4.7 cm,BOOK-6DCFIHMQ
La Formula di Orione,Una matematica scopre un’equazione che predice catastrofi cosmiche.,Thriller scientifico innovativo.,Romanzo Scientifico,Giulia Ventresca,Orizzonte Narrativo,Editor P16,738,0.7,15x27x2.1 cm,BOOK-JBZFPXKJ
I Segreti di Valdombra,Un villaggio isolato nasconde rituali proibiti tramandati da secoli.,Mistero rurale oscuro.,Dark Mystery,Giulia Ventresca,Edizioni Zenith,Editor Q17,257,0.49,19x18x2.3 cm,BOOK-7J904SW8
Tokyo Afterlight,"In una Tokyo neon-noir, una detective combatte il traffico di memorie digitali.",Noir futuristico giapponese.,Neo-Noir,Leonardo Ferretti,Aurora Edizioni,Editor R18,343,1.21,18x23x1.9 cm,BOOK-AVABE4NQ
La Cattedrale del Silenzio,Un sacerdote perde la voce dopo aver scoperto un antico manoscritto.,Thriller religioso enigmatico.,Thriller Religioso,Giulia Ventresca,Orizzonte Narrativo,Editor S19,367,0.39,15x28x2.5 cm,BOOK-EE486DM7
Il Treno per Avalon,Passeggeri sconosciuti viaggiano verso una destinazione impossibile.,Fantasy mistico ferroviario.,Fantasy Mistico,Sara Montanari,Edizioni Zenith,Editor T20,756,1.16,12x25x4.5 cm,BOOK-1IQTIL8Z
Echi nella Tempesta,Una meteorologa affronta anomalie climatiche generate da esperimenti militari.,Thriller climatico moderno.,Eco-Thriller,Elena Rinaldi,Edizioni Zenith,Editor U21,511,0.9,16x27x1.4 cm,BOOK-FWNFCND6
La Mappa dei Sette Soli,Un cartografo viaggia tra mondi paralleli inseguendo una reliquia perduta.,Avventura fantasy multidimensionale.,Multiverso Fantasy,Sara Montanari,Aurora Edizioni,Editor V22,301,0.77,12x18x3.6 cm,BOOK-PRR495G6
Il Custode delle Rune,Un fabbro magico deve impedire che antiche rune distruggano il suo regno.,Fantasy nordico e magia.,Fantasy Nordico,Sara Montanari,Orizzonte Narrativo,Editor W23,780,1.33,19x19x1.6 cm,BOOK-SOK4VEQY
L’Orologiaio di Marte,"Su Marte, un inventore crea macchine capaci di manipolare il destino.",Steampunk ambientato sul pianeta rosso.,Steampunk,Marta De Luca,Luna Nera Press,Editor X24,405,0.46,17x18x3.4 cm,BOOK-95OXH89X
Notti a Silver Creek,Uno sceriffo indaga sparizioni misteriose in una cittadina del vecchio west.,Western investigativo.,Western,Sara Montanari,Atlas Libri,Editor Y25,585,0.98,14x23x5.2 cm,BOOK-YQ3UT38R
